Date,High,Low,Open,Close,Volume,Adj Close
2019-07-10,162.3699951171875,158.5,159.05999755859375,160.05999755859375,11301900,160.05999755859375
2019-07-11,167.9199981689453,161.5,163.0,166.27999877929688,17064000,166.27999877929688
2019-07-12,170.47000122070312,167.39999389648438,167.39999389648438,167.61000061035156,12659800,167.61000061035156
2019-07-15,169.11000061035156,166.1300048828125,168.4600067138672,167.27000427246094,7246000,167.27000427246094
2019-07-16,168.1699981689453,164.83999633789062,166.6699981689453,167.0800018310547,8536100,167.0800018310547
2019-07-17,169.99000549316406,165.97000122070312,167.14999389648438,169.7100067138672,8705100,169.7100067138672
2019-07-18,172.7100067138672,167.85000610351562,170.1300048828125,170.17999267578125,11079500,170.17999267578125
2019-07-19,171.97999572753906,168.1999969482422,171.72000122070312,168.44000244140625,8622400,168.44000244140625
2019-07-22,171.83999633789062,169.0,169.3000030517578,171.32000732421875,7898500,171.32000732421875
2019-07-23,175.74000549316406,172.27000427246094,172.89999389648438,175.66000366210938,10704400,175.66000366210938
2019-07-24,178.88999938964844,174.33999633789062,177.39999389648438,178.66000366210938,9155900,178.66000366210938
2019-07-25,177.5,172.44000244140625,176.99000549316406,173.3800048828125,9817500,173.3800048828125
2019-07-26,176.9499969482422,174.47000122070312,174.47000122070312,175.07000732421875,6854000,175.07000732421875
2019-07-29,175.47000122070312,171.27000427246094,174.77999877929688,174.82000732421875,6204000,174.82000732421875
2019-07-30,175.94000244140625,172.3699951171875,172.9499969482422,175.4499969482422,4944300,175.4499969482422
2019-07-31,174.22000122070312,167.02000427246094,174.17999267578125,168.72000122070312,8985400,168.72000122070312
2019-08-01,172.77999877929688,162.82000732421875,169.13999938964844,164.9199981689453,10530300,164.9199981689453
2019-08-02,163.97999572753906,159.27999877929688,161.19000244140625,161.19000244140625,10708700,161.19000244140625
2019-08-05,153.85000610351562,148.89999389648438,153.8000030517578,150.7899932861328,14728900,150.7899932861328
2019-08-06,155.6300048828125,150.42999267578125,153.8000030517578,152.35000610351562,9031800,152.35000610351562
2019-08-07,154.3699951171875,149.1999969482422,149.89999389648438,153.88999938964844,9314000,153.88999938964844
2019-08-08,158.30999755859375,153.89999389648438,156.2100067138672,158.25999450683594,7732500,158.25999450683594
2019-08-09,156.75,152.14999389648438,156.61000061035156,154.17999267578125,8545400,154.17999267578125
2019-08-12,154.17999267578125,150.57000732421875,152.0800018310547,151.4499969482422,6980000,151.4499969482422
2019-08-13,157.89999389648438,149.82000732421875,151.38999938964844,156.0500030517578,8798900,156.0500030517578
2019-08-14,152.9499969482422,148.30999755859375,152.5,150.07000732421875,10497000,150.07000732421875
2019-08-15,151.6300048828125,147.38999938964844,150.8300018310547,148.77000427246094,11930000,148.77000427246094
2019-08-16,161.5399932861328,156.8800048828125,159.35000610351562,159.55999755859375,25199000,159.55999755859375
2019-08-19,171.4199981689453,163.47000122070312,164.1199951171875,170.77999877929688,20377800,170.77999877929688
2019-08-20,170.5800018310547,167.02000427246094,170.55999755859375,167.8699951171875,11579700,167.8699951171875
2019-08-21,173.4499969482422,169.66000366210938,170.52999877929688,171.22999572753906,10681100,171.22999572753906
2019-08-22,173.3300018310547,169.89999389648438,171.6199951171875,171.47999572753906,7587200,171.47999572753906
2019-08-23,170.58999633789062,161.63999938964844,168.39999389648438,162.44000244140625,14201400,162.44000244140625
2019-08-26,166.5800018310547,163.91000366210938,165.61000061035156,165.4499969482422,7955200,165.4499969482422
2019-08-27,167.10000610351562,160.6199951171875,166.99000549316406,161.8000030517578,7274200,161.8000030517578
2019-08-28,163.3300018310547,159.00340270996094,160.5800018310547,161.22000122070312,6279187,161.22000122070312
